,Customer_number,age,job,marital,education,Annual Income,Gender
0,1001,58.0,management,married,tertiary,839368.0,M
1,1002,44.0,technician,single,secondary,1452858.0,M
2,1003,33.0,entrepreneur,married,,4851383.0,F
3,1004,47.0,blue-collar,married,,3207754.0,F
4,1005,33.0,,single,,2562322.0,M
5,1006,35.0,management,married,tertiary,3960603.0,M
6,1007,28.0,management,single,tertiary,2383284.0,M
7,1008,42.0,entrepreneur,divorced,tertiary,,F
8,1009,58.0,retired,married,primary,1122246.0,F
9,1010,43.0,technician,single,secondary,1111232.0,M
10,1011,41.0,admin.,divorced,,3125843.0,F
11,1012,29.0,admin.,single,secondary,4721864.0,M
12,1013,53.0,technician,married,secondary,4735377.0,F
13,1014,58.0,technician,married,,2824333.0,F
14,1015,57.0,services,married,secondary,,M
15,1016,51.0,retired,married,primary,1032353.0,F
16,1017,45.0,admin.,single,,3715449.0,M
17,1018,57.0,blue-collar,married,primary,520774.0,F
18,1019,60.0,retired,married,primary,430248.0,F
19,1020,33.0,services,married,secondary,1530174.0,F
20,1021,28.0,blue-collar,married,secondary,984713.0,M
21,1022,56.0,management,married,tertiary,4950906.0,M
22,1023,32.0,blue-collar,single,primary,4132040.0,F
23,1024,25.0,services,married,secondary,,M
24,1025,40.0,retired,married,primary,3083826.0,M
25,1026,44.0,admin.,married,secondary,9458762.0,F
26,1027,39.0,management,single,tertiary,3402678.0,M
27,1028,52.0,entrepreneur,married,secondary,3333256.0,F
28,1029,46.0,management,single,secondary,9456591.0,F
29,1030,36.0,technician,single,secondary,1580345.0,M
30,1031,57.0,technician,married,secondary,2841686.0,M
31,1032,49.0,management,married,tertiary,1109590.0,M
32,1033,60.0,admin.,married,secondary,1658941.0,F
33,1034,59.0,blue-collar,married,secondary,669919.0,M
34,1035,51.0,management,married,tertiary,756060.0,F
35,1036,57.0,technician,divorced,,338933.0,M
36,1037,25.0,blue-collar,married,secondary,9456339.0,M
37,1038,53.0,technician,married,secondary,9455899.0,M
38,1039,36.0,admin.,divorced,secondary,4120770.0,F
39,1040,37.0,admin.,single,secondary,1772791.0,F
40,1041,44.0,services,divorced,secondary,4306051.0,M
41,1042,50.0,management,married,secondary,4587759.0,M
42,1043,60.0,blue-collar,married,,2686262.0,M
43,1044,54.0,retired,married,secondary,1821798.0,M
44,1045,58.0,retired,married,,311788.0,F
45,1046,36.0,admin.,single,primary,9455698.0,M
46,1047,58.0,self-employed,married,tertiary,9455395.0,F
47,1048,44.0,technician,married,secondary,2815548.0,F
48,1049,55.0,technician,divorced,secondary,4810498.0,M
49,1050,29.0,management,single,tertiary,2336585.0,F
50,1051,54.0,blue-collar,married,secondary,1588055.0,M
51,1052,48.0,management,divorced,tertiary,9452458.0,M
52,1053,32.0,management,married,tertiary,3147711.0,M
53,1054,42.0,admin.,single,secondary,9452078.0,M
54,1055,24.0,technician,single,secondary,8940189.0,F
55,1056,38.0,entrepreneur,single,tertiary,1594257.0,M
56,1057,38.0,management,single,tertiary,3806355.0,M
57,1058,47.0,blue-collar,married,,1172205.0,M
58,1059,40.0,blue-collar,single,,649595.0,F
59,1060,46.0,services,married,primary,2267997.0,M
60,1061,32.0,admin.,married,tertiary,734214.0,M
61,1062,53.0,technician,divorced,secondary,2524364.0,M
62,1063,57.0,blue-collar,married,primary,2117979.0,F
