,Sno,Customer_number,Insurance,balance,housing,loan,contact,duration,campaign,last_contact_day,previous,poutcome,Term Deposit,Count_Txn
0,0,1001,no,2143.0,yes,no,,261.0,1,2,0,,no,351.0
1,1,1002,no,29.0,yes,no,,151.0,1,2,0,,no,326.0
2,2,1003,no,2.0,yes,yes,,76.0,1,2,0,,no,422.0
3,3,1004,no,1506.0,yes,no,,92.0,1,2,0,,no,113.0
4,4,1005,no,1.0,no,no,,198.0,1,2,0,,no,342.0
5,5,1006,no,231.0,yes,no,,139.0,1,2,0,,no,490.0
6,6,1007,no,447.0,yes,yes,,217.0,1,2,0,,no,411.0
7,7,1008,yes,2.0,yes,no,,380.0,1,2,0,pending,no,108.0
8,8,1009,no,121.0,yes,no,,50.0,1,2,0,pending,no,328.0
9,9,1010,no,593.0,yes,no,,55.0,1,2,0,pending,no,124.0
10,10,1011,no,270.0,yes,no,,222.0,1,2,0,pending,no,326.0
11,11,1012,no,390.0,yes,no,,137.0,1,3,0,pending,no,470.0
12,12,1013,no,6.0,yes,no,,517.0,1,3,0,pending,no,273.0
13,13,1014,no,71.0,yes,no,,71.0,1,3,0,pending,no,277.0
14,14,1015,no,162.0,yes,no,,174.0,1,3,0,pending,no,186.0
15,15,1016,no,229.0,yes,no,,353.0,1,3,0,,no,152.0
16,16,1017,no,13.0,yes,no,,98.0,1,3,0,pending,no,370.0
17,17,1018,no,52.0,yes,no,,38.0,1,3,0,pending,no,270.0
18,18,1019,no,60.0,yes,no,,219.0,1,3,0,pending,no,0.0
19,19,1020,no,0.0,yes,no,,54.0,1,3,0,pending,no,482.0
20,20,1021,no,723.0,yes,yes,,262.0,1,3,0,pending,no,295.0
21,21,1022,no,779.0,yes,no,,164.0,1,3,0,pending,no,447.0
22,22,1023,no,23.0,yes,yes,,160.0,1,3,0,pending,no,423.0
23,23,1024,no,50.0,yes,no,,342.0,1,3,0,pending,no,426.0
24,24,1025,no,0.0,yes,yes,,181.0,1,3,0,pending,no,383.0
25,25,1026,no,372.0,yes,no,,172.0,1,3,0,pending,no,144.0
26,26,1027,no,255.0,yes,no,,296.0,1,3,0,pending,no,261.0
27,27,1028,no,113.0,yes,yes,,127.0,1,3,0,pending,no,421.0
28,28,1029,no,246.0,yes,no,,255.0,2,3,0,pending,no,389.0
29,29,1030,no,265.0,yes,yes,,348.0,1,3,0,pending,no,294.0
30,30,1031,no,839.0,no,yes,,225.0,1,3,0,pending,no,369.0
31,31,1032,no,378.0,yes,no,,230.0,1,3,0,pending,no,451.0
32,32,1033,no,39.0,yes,yes,,208.0,1,3,0,pending,no,294.0
33,33,1034,no,0.0,yes,no,,226.0,1,3,0,pending,no,156.0
34,34,1035,no,10635.0,yes,no,,336.0,1,1,0,pending,no,122.0
35,35,1036,no,63.0,yes,no,,242.0,1,1,0,pending,no,387.0
36,36,1037,no,7.0,yes,no,,365.0,1,1,0,pending,no,362.0
37,37,1038,no,3.0,no,no,,1666.0,1,1,0,pending,no,223.0
38,38,1039,no,506.0,yes,no,,577.0,1,1,0,pending,no,460.0
39,39,1040,no,0.0,yes,no,,137.0,1,1,0,,no,219.0
40,40,1041,no,2586.0,yes,no,,160.0,1,1,0,pending,no,283.0
41,41,1042,no,,yes,no,,180.0,2,1,0,pending,no,381.0
42,42,1043,no,104.0,yes,no,,22.0,1,1,0,pending,no,119.0
43,43,1044,no,529.0,yes,no,,1492.0,1,1,0,pending,no,353.0
44,44,1045,no,96.0,yes,no,,616.0,1,1,0,pending,no,365.0
45,45,1046,no,171.0,yes,no,,242.0,1,1,0,pending,no,105.0
46,46,1047,no,364.0,yes,no,,355.0,1,1,0,pending,no,350.0
47,47,1048,no,0.0,yes,no,,225.0,2,1,0,pending,no,474.0
48,48,1049,no,0.0,no,no,,160.0,1,1,0,pending,no,146.0
49,49,1050,no,0.0,yes,no,,363.0,1,1,0,pending,no,366.0
50,50,1051,no,1291.0,yes,no,,266.0,1,1,0,pending,no,391.0
51,51,1052,no,244.0,yes,no,,253.0,1,1,0,pending,no,458.0
52,52,1053,no,0.0,yes,no,,179.0,1,1,0,pending,no,392.0
53,53,1054,no,76.0,yes,no,,787.0,1,1,0,pending,no,362.0
54,54,1055,no,103.0,yes,yes,,,1,1,0,pending,no,446.0
55,55,1056,no,243.0,no,yes,,174.0,1,1,0,pending,no,409.0
56,56,1057,no,424.0,yes,no,,104.0,1,1,0,pending,no,275.0
57,57,1058,no,306.0,yes,no,,13.0,1,1,0,pending,no,343.0
58,58,1059,no,24.0,yes,no,,185.0,1,1,0,pending,no,140.0
59,59,1060,no,179.0,yes,no,,1778.0,1,1,0,pending,no,226.0
60,60,1061,no,0.0,yes,no,,138.0,1,1,0,pending,no,346.0
61,61,1062,no,989.0,yes,no,,812.0,1,1,0,pending,no,165.0
62,62,1063,no,249.0,yes,no,,164.0,1,1,0,pending,no,479.0
63,63,1064,no,790.0,yes,no,,391.0,1,1,0,pending,no,257.0
64,64,1065,no,154.0,yes,no,,357.0,1,1,0,,no,276.0
65,65,1066,no,6530.0,yes,no,,91.0,1,1,0,,no,489.0
66,66,1067,no,100.0,no,no,,528.0,1,1,0,,no,101.0
67,67,1068,no,59.0,yes,no,,273.0,1,1,0,,no,196.0
68,68,1069,no,1205.0,yes,no,,158.0,2,1,0,,no,418.0
69,69,1070,no,12223.0,yes,yes,,177.0,1,2,0,,no,481.0
70,70,1071,no,5935.0,yes,yes,,258.0,1,1,0,,no,168.0
71,71,1072,no,25.0,yes,yes,,172.0,1,1,0,,no,370.0
72,72,1073,no,282.0,yes,yes,,154.0,1,1,0,,no,431.0
73,73,1074,no,23.0,yes,no,,291.0,1,1,0,,no,174.0
74,74,1075,no,1937.0,yes,no,,181.0,1,1,0,,no,473.0
75,75,1076,no,384.0,yes,no,,176.0,1,1,0,,no,324.0
76,76,1077,no,582.0,no,yes,,211.0,1,1,0,,no,393.0
77,77,1078,no,91.0,no,no,,349.0,1,1,0,,no,239.0
78,78,1079,no,0.0,yes,yes,,272.0,1,1,0,,no,126.0
79,79,1080,yes,1.0,yes,no,,208.0,1,1,0,,no,150.0
80,80,1081,no,206.0,yes,no,,193.0,1,1,0,,no,255.0
81,81,1082,no,164.0,no,no,,212.0,1,1,0,,no,175.0
82,82,1083,no,690.0,yes,no,,20.0,1,1,0,,no,316.0
83,83,1084,no,2343.0,yes,no,,1042.0,1,1,0,,yes,141.0
84,84,1085,no,137.0,yes,yes,,246.0,1,1,0,,no,176.0
85,85,1086,no,173.0,yes,no,,529.0,2,1,0,,no,263.0
86,86,1087,no,45.0,no,no,,1467.0,1,1,0,,yes,399.0
87,87,1088,no,1270.0,yes,no,,1389.0,1,1,0,,yes,468.0
88,88,1089,no,16.0,yes,yes,,188.0,2,1,0,,no,340.0
89,89,1090,no,486.0,yes,no,,180.0,2,1,0,,no,466.0
90,90,1091,no,50.0,no,no,,48.0,1,1,0,,no,258.0
91,91,1092,no,152.0,yes,yes,,213.0,2,1,0,,no,434.0
92,92,1093,no,290.0,yes,no,,583.0,1,1,0,,no,356.0
93,93,1094,no,54.0,yes,no,,221.0,1,1,0,,no,391.0
94,94,1095,no,37.0,no,no,,173.0,1,1,0,,no,180.0
95,95,1096,no,101.0,yes,yes,,426.0,1,1,0,,no,146.0
96,96,1097,no,383.0,no,no,,287.0,1,1,0,,no,444.0
97,97,1098,no,81.0,yes,no,,101.0,1,1,0,,no,129.0
98,98,1099,no,0.0,yes,no,,203.0,1,1,0,,no,111.0
99,99,1100,no,229.0,yes,no,,197.0,1,1,0,,no,341.0
100,100,1101,no,674.0,yes,no,,257.0,1,1,0,,no,271.0
101,101,1102,no,90.0,no,no,,124.0,1,1,0,,no,270.0
102,102,1103,no,128.0,yes,no,,229.0,1,1,0,,no,195.0
103,103,1104,no,179.0,yes,no,,55.0,3,1,0,,no,492.0
104,104,1105,no,0.0,yes,no,,400.0,1,1,0,,no,388.0
105,105,1106,no,54.0,yes,no,,197.0,1,1,0,,no,419.0
106,106,1107,no,151.0,yes,no,,190.0,1,1,0,,no,248.0
107,107,1108,no,61.0,no,yes,,21.0,1,1,0,,no,335.0
108,108,1109,no,30.0,yes,no,,514.0,1,1,0,,no,481.0
109,109,1110,no,523.0,yes,no,,849.0,2,1,0,,no,359.0
110,110,1111,no,31.0,yes,no,,194.0,1,1,0,,no,202.0
111,111,1112,no,79.0,no,no,,144.0,1,1,0,,no,199.0
112,112,1113,no,34.0,yes,yes,,212.0,2,1,0,,no,309.0
113,113,1114,no,448.0,yes,no,,286.0,1,1,0,,no,331.0
114,114,1115,no,81.0,yes,no,,107.0,1,1,0,,no,160.0
115,115,1116,no,144.0,yes,no,,247.0,2,1,0,,no,468.0
116,116,1117,no,351.0,yes,no,,518.0,1,1,0,,no,116.0
117,117,1118,no,67.0,yes,no,,364.0,1,1,0,,no,290.0
118,118,1119,no,262.0,no,no,,178.0,1,1,0,,no,158.0
119,119,1120,no,0.0,no,no,,98.0,1,1,0,,no,446.0
120,120,1121,no,56.0,yes,no,,439.0,1,1,0,,no,211.0
121,121,1122,no,26.0,yes,no,,79.0,1,1,0,,no,297.0
122,122,1123,no,3.0,yes,no,,,3,1,0,,no,144.0
123,123,1124,no,,yes,yes,,127.0,2,1,0,,no,264.0
124,124,1125,no,7.0,no,yes,,175.0,1,1,0,,no,175.0
125,125,1126,no,105.0,yes,no,,262.0,2,1,0,,no,238.0
126,126,1127,no,818.0,yes,yes,,61.0,1,1,0,,no,301.0
127,127,1128,no,16.0,yes,yes,,78.0,1,1,0,,no,254.0
128,128,1129,no,0.0,yes,no,,143.0,1,1,0,,no,265.0
129,129,1130,no,2476.0,yes,no,,579.0,1,1,0,,yes,241.0
130,130,1131,no,1185.0,no,no,,677.0,1,1,0,,no,165.0
131,131,1132,no,217.0,yes,no,,345.0,1,1,0,,no,315.0
132,132,1133,no,1685.0,yes,no,,185.0,1,1,0,,no,429.0
133,133,1134,no,802.0,yes,yes,,100.0,2,1,0,,no,413.0
134,134,1135,no,0.0,yes,no,,125.0,2,1,0,,no,425.0
135,135,1136,no,94.0,yes,no,,193.0,1,1,0,,no,452.0
136,136,1137,no,0.0,yes,no,,136.0,1,1,0,,no,299.0
137,137,1138,no,0.0,no,no,,73.0,1,1,0,,no,347.0
138,138,1139,no,517.0,yes,no,,528.0,1,1,0,,no,194.0
139,139,1140,no,265.0,yes,no,,541.0,1,1,0,,no,295.0
140,140,1141,no,947.0,yes,no,,163.0,1,1,0,,no,192.0
141,141,1142,no,3.0,yes,no,,301.0,1,1,0,,no,472.0
142,142,1143,no,42.0,no,no,,46.0,1,1,0,,no,329.0
143,143,1144,no,37.0,yes,no,,204.0,1,1,0,,no,113.0
144,144,1145,no,57.0,yes,no,,98.0,1,1,0,,no,268.0
145,145,1146,no,22.0,yes,no,,71.0,1,1,0,,no,153.0
146,146,1147,no,8.0,yes,no,,157.0,2,1,0,,no,128.0
147,147,1148,no,293.0,yes,no,,243.0,1,1,0,,no,295.0
148,148,1149,no,3.0,yes,no,,186.0,2,1,0,,no,436.0
149,149,1150,no,348.0,yes,no,,579.0,2,1,0,,no,176.0
